timestamp,test_name,execution_time,account
2025-09-24T13:50:06.553Z,Page Load Cache,0.749,A9-106826@area9.dk
2025-09-24T13:57:18.797Z,Page Load Cache,4.324,A9-106826@area9.dk
2025-09-24T13:58:29.048Z,Page Load,3.772,A9-106826@area9.dk
2025-09-24T13:58:50.518Z,Page Load Cache,0.873,A9-106826@area9.dk
2025-09-25T07:55:53.970Z,Login Educator Cache,ERROR,
2025-09-25T07:57:01.282Z,Login Educator Cache,ERROR,
2025-09-25T07:57:36.108Z,Login Learner Cache,ERROR,
2025-09-25T07:58:00.293Z,Login Educator Cache,ERROR,
2025-09-25T07:58:25.016Z,Login Curator Cache,ERROR,
2025-09-25T07:58:56.573Z,SCORM Cache,ERROR,
2025-09-25T07:59:39.326Z,Video Probe Cache,ERROR,
2025-09-25T08:00:07.567Z,Review Cache,ERROR,
2025-09-25T08:00:35.426Z,Course Catalog Cache,ERROR,
2025-09-25T08:00:59.737Z,Create Class Cache,ERROR,
2025-09-25T08:01:27.845Z,Open Class Cache,ERROR,
2025-09-25T08:01:55.887Z,Delete Class Cache,ERROR,
2025-09-25T08:23:13.435Z,Page Load Cache,2.231,A9-106826@area9.dk
2025-09-25T08:38:51.624Z,Login Educator Cache,ERROR,
2025-09-25T08:39:36.587Z,Login Curator Cache,ERROR,
2025-09-25T08:40:08.865Z,Open SCORM (cold),2.92,
2025-09-25T08:40:15.502Z,Open SCORM (warm),2.803,
2025-09-25T08:40:57.789Z,Video Probe Cache,ERROR,
2025-09-25T08:41:31.524Z,Open Review (cold),17.663,
2025-09-25T08:41:40.075Z,Open Review (warm),5.402,
2025-09-25T08:42:19.918Z,Open Course Catalog (cold),1.056,
2025-09-25T08:42:28.360Z,Open Course Catalog (warm),1.351,
2025-09-25T08:43:23.382Z,Open Class Cache,ERROR,
2025-09-25T08:54:10.253Z,Login Educator Cache,ERROR,
2025-09-25T08:54:55.378Z,Login Curator Cache,ERROR,
2025-09-25T08:55:27.291Z,Open SCORM (cold),3.267,
2025-09-25T08:55:33.709Z,Open SCORM (warm),2.861,
2025-09-25T08:56:14.389Z,Open Video Probe (cold),1.459,
2025-09-25T08:56:20.142Z,Open Video Probe (warm),1.383,
